title	accession_no	organism	family	start_ad	end_ad	lenth
AJ849586.1  Salix viminalis chloroplast partial tRNA-Lys gene intron and partial 	AJ849586 	Salix viminalis 	Salicaceae	289	622	334
AJ849588.1  Salix alba chloroplast partial tRNA-Lys gene intron and partial matK 	AJ849588 	Salix alba 	Salicaceae	29	788	760
AJ849589.1  Salix fragilis chloroplast partial tRNA-Lys gene intron and partial 	AJ849589 	Salix fragilis 	Salicaceae	29	788	760
AJ849591.1  Salix triandra chloroplast partial tRNA-Lys gene intron and partial 	AJ849591 	Salix triandra 	Salicaceae	29	788	760
AJ849592.1  Salix purpurea chloroplast partial tRNA-Lys gene intron and partial 	AJ849592 	Salix purpurea 	Salicaceae	29	788	760
AJ849593.1  Salix babylonica chloroplast partial tRNA-Lys gene intron and 	AJ849593 	Salix babylonica 	Salicaceae	29	788	760
AJ849594.1  Salix viminalis chloroplast partial tRNA-Lys gene intron and partial 	AJ849594 	Salix viminalis 	Salicaceae	29	788	760
AM889739.1  Populus alba chloroplast partial matK gene for maturase K. 	AM889739 	Populus alba 	Salicaceae	1	836	836
AM889740.1  Populus tremula chloroplast partial matK gene for maturase K. 	AM889740 	Populus tremula 	Salicaceae	1	836	836
AY177666.1  Populus tomentosa trnK gene, intron; and maturase (matK) gene, 	AY177666 	Populus tomentosa 	Salicaceae	74	1606	1533
AY669057.1  Salix purpurea maturase (MatK) gene, complete cds; chloroplast. 	AY669057 	Salix purpurea 	Salicaceae	786	2318	1533
AY669058.1  Salix eriocephala maturase (MatK) gene, complete cds; chloroplast. 	AY669058 	Salix eriocephala 	Salicaceae	761	2293	1533
AY935927.1  Casearia javitensis isolate 33 maturase K (matK) gene, partial cds; 	AY935927 	Casearia javitensis 	Salicaceae	1	1203	1203
DQ060264.1  Salix melanopsis isolate 2895-Skagit maturase K (matK) gene, partial 	DQ060264 	Salix melanopsis 	Salicaceae	1	823	823
DQ060265.1  Salix melanopsis isolate 60A-Naches maturase K (matK) gene, partial 	DQ060265 	Salix melanopsis 	Salicaceae	1	823	823
DQ060267.1  Salix melanopsis isolate 37A-upStJoe maturase K-like (matK) gene, 	DQ060267 	Salix melanopsis 	Salicaceae	1	829	829
DQ060268.1  Salix melanopsis isolate 40B-Lochsa maturase K-like (matK) gene, 	DQ060268 	Salix melanopsis 	Salicaceae	1	829	829
DQ060269.1  Salix melanopsis isolate 71A-NFClear maturase K-like (matK) gene, 	DQ060269 	Salix melanopsis 	Salicaceae	1	829	829
DQ060270.1  Salix melanopsis isolate 7084A-out maturase K-like (matK) gene, 	DQ060270 	Salix melanopsis 	Salicaceae	1	823	823
EF135498.1  Abatia parviflora maturase K (matK) gene, partial cds; chloroplast. 	EF135498 	Abatia parviflora 	Salicaceae	1	1129	1129
EF135516.1  Casearia nitida maturase K (matK) gene, partial cds; chloroplast. 	EF135516 	Casearia nitida 	Salicaceae	1	1148	1148
EF135529.1  Dovyalis rhamnoides maturase K (matK) gene, partial cds; 	EF135529 	Dovyalis rhamnoides 	Salicaceae	1	1135	1135
EF135541.1  Flacourtia jangomas maturase K (matK) gene, partial cds; 	EF135541 	Flacourtia jangomas 	Salicaceae	1	1129	1129
EF135546.1  Hasseltia floribunda maturase K (matK) gene, partial cds; 	EF135546 	Hasseltia floribunda 	Salicaceae	1	1108	1108
EF135561.1  Lunania parviflora maturase K (matK) gene, partial cds; chloroplast. 	EF135561 	Lunania parviflora 	Salicaceae	1	1132	1132
EF135586.1  Poliothyrsis sinensis maturase K (matK) gene, partial cds; 	EF135586 	Poliothyrsis sinensis 	Salicaceae	1	1133	1133
EF135587.1  Populus maximowiczii maturase K (matK) gene, partial cds; 	EF135587 	Populus maximowiczii 	Salicaceae	1	1135	1135
EF135588.1  Prockia crucis maturase K (matK) gene, partial cds; chloroplast. 	EF135588 	Prockia crucis 	Salicaceae	1	1126	1126
EF135592.1  Salix reticulata maturase K (matK) gene, partial cds; chloroplast. 	EF135592 	Salix reticulata 	Salicaceae	1	1119	1119
EF135594.1  Scyphostegia borneensis maturase K (matK) gene, partial cds; 	EF135594 	Scyphostegia borneensis 	Salicaceae	1	1123	1123
EU749347.1  Populus balsamifera voucher OAC:AP376 maturase K (matK) gene, 	EU749347 	Populus balsamifera 	Salicaceae	1	625	625
EU749348.1  Populus balsamifera voucher OAC:JAG244 maturase K (matK) gene, 	EU749348 	Populus balsamifera 	Salicaceae	1	790	790
EU749349.1  Populus deltoides voucher OAC:JAG061 maturase K (matK) gene, partial 	EU749349 	Populus deltoides 	Salicaceae	1	605	605
EU749350.1  Populus deltoides voucher OAC:JAG391 maturase K (matK) gene, partial 	EU749350 	Populus deltoides 	Salicaceae	1	785	785
EU749351.1  Populus deltoides voucher OAC:JAG435 maturase K (matK) gene, partial 	EU749351 	Populus deltoides 	Salicaceae	1	814	814
EU749352.1  Populus grandidentata voucher OAC:AP425 maturase K (matK) gene, 	EU749352 	Populus grandidentata 	Salicaceae	1	703	703
EU749353.1  Populus grandidentata voucher OAC:JAG219 maturase K (matK) gene, 	EU749353 	Populus grandidentata 	Salicaceae	1	696	696
EU749354.1  Populus grandidentata voucher OAC:JAG339 maturase K (matK) gene, 	EU749354 	Populus grandidentata 	Salicaceae	1	744	744
EU749355.1  Populus tremuloides voucher OAC:AP380 maturase K (matK) gene, 	EU749355 	Populus tremuloides 	Salicaceae	1	784	784
EU749356.1  Populus tremuloides voucher OAC:JAG205 maturase K (matK) gene, 	EU749356 	Populus tremuloides 	Salicaceae	1	658	658
EU749357.1  Populus tremuloides voucher OAC:JAG277 maturase K (matK) gene, 	EU749357 	Populus tremuloides 	Salicaceae	1	760	760
EU749389.1  Salix babylonica voucher OAC:AP378 maturase K (matK) gene, partial 	EU749389 	Salix babylonica 	Salicaceae	1	598	598
EU749390.1  Salix babylonica voucher OAC:JAG369 maturase K (matK) gene, partial 	EU749390 	Salix babylonica 	Salicaceae	1	687	687
EU749391.1  Salix eriocephala voucher OAC:AP155 maturase K (matK) gene, partial 	EU749391 	Salix eriocephala 	Salicaceae	1	729	729
EU749392.1  Salix eriocephala voucher OAC:JAG321 maturase K (matK) gene, partial 	EU749392 	Salix eriocephala 	Salicaceae	1	751	751
EU749393.1  Salix eriocephala voucher OAC:JAG345 maturase K (matK) gene, partial 	EU749393 	Salix eriocephala 	Salicaceae	1	770	770
EU749394.1  Salix eriocephala voucher OAC:JAG392 maturase K (matK) gene, partial 	EU749394 	Salix eriocephala 	Salicaceae	1	832	832
EU749395.1  Salix exigua voucher OAC:JAG325 maturase K (matK) gene, partial cds; 	EU749395 	Salix exigua 	Salicaceae	1	815	815
EU749396.1  Salix exigua voucher OAC:JAG344 maturase K (matK) gene, partial cds; 	EU749396 	Salix exigua 	Salicaceae	1	797	797
EU790669.1  Salix arctica voucher Chase 982 maturase K (matK) gene, partial cds; 	EU790669 	Salix arctica 	Salicaceae	1	1528	1528
EU790670.1  Salix herbacea voucher Antilla 4306 maturase K (matK) gene, partial 	EU790670 	Salix herbacea 	Salicaceae	1	1528	1528
EU790671.1  Salix herbacea voucher Roininen 6011 maturase K (matK) gene, partial 	EU790671 	Salix herbacea 	Salicaceae	1	1528	1528
EU790672.1  Salix reticulata voucher Argus 13928c maturase K (matK) gene, 	EU790672 	Salix reticulata 	Salicaceae	1	1528	1528
EU790673.1  Salix amygdaloides voucher Brunsfeld S.amyg5046 maturase K (matK) 	EU790673 	Salix amygdaloides 	Salicaceae	1	1528	1528
EU790674.1  Salix floridana voucher Miller 6016 maturase K (matK) gene, partial 	EU790674 	Salix floridana 	Salicaceae	1	1528	1528
EU790675.1  Salix acmophylla voucher Buechler S.acmo1 maturase K (matK) gene, 	EU790675 	Salix acmophylla 	Salicaceae	1	1528	1528
EU790677.1  Salix alba voucher Antilla 7164 maturase K (matK) gene, partial cds; 	EU790677 	Salix alba 	Salicaceae	1	1528	1528
EU790678.1  Salix chaenomeloides voucher Buechler chae2 maturase K-like (matK) 	EU790678 	Salix chaenomeloides 	Salicaceae	1	1528	1528
EU790680.1  Salix lucida voucher Brunsfeld lasi5084-id maturase K (matK) gene, 	EU790680 	Salix lucida 	Salicaceae	1	1501	1501
EU790681.1  Salix lucida voucher Brunsfeld 5025-pa maturase K (matK) gene, 	EU790681 	Salix lucida 	Salicaceae	1	1528	1528
EU790683.1  Salix melanopsis voucher Brunsfeld 5075-mt maturase K-like (matK) 	EU790683 	Salix melanopsis 	Salicaceae	1	1469	1469
EU790684.1  Salix pentandra voucher Antilla 1 maturase K-like (matK) gene, 	EU790684 	Salix pentandra 	Salicaceae	1	1528	1528
EU790685.1  Salix pentandra voucher Roininen 2017 maturase K (matK) gene, 	EU790685 	Salix pentandra 	Salicaceae	1	1528	1528
EU790686.1  Salix taxifolia voucher Brunsfeld 3008 maturase K (matK) gene, 	EU790686 	Salix taxifolia 	Salicaceae	1	1528	1528
EU790687.1  Salix triandra voucher Antilla 127 maturase K (matK) gene, partial 	EU790687 	Salix triandra 	Salicaceae	1	1528	1528
EU790689.1  Salix bebbiana voucher Brunsfeld 5018-pa maturase K (matK) gene, 	EU790689 	Salix bebbiana 	Salicaceae	1	1528	1528
EU790691.1  Salix cordata voucher Brunsfeld 5040d-ny maturase K (matK) gene, 	EU790691 	Salix cordata 	Salicaceae	1	1528	1528
EU790693.1  Salix discolor voucher Brunsfeld 6052-wi maturase K (matK) gene, 	EU790693 	Salix discolor 	Salicaceae	1	1528	1528
EU790694.1  Salix eriocephala voucher Brunsfeld 6062a-oh maturase K (matK) gene, 	EU790694 	Salix eriocephala 	Salicaceae	1	1528	1528
EU790695.1  Salix eriocephala voucher Brunsfeld 17-ny maturase K (matK) gene, 	EU790695 	Salix eriocephala 	Salicaceae	1	1528	1528
EU790696.1  Salix eriocephala voucher Brunsfeld 4052-id maturase K (matK) gene, 	EU790696 	Salix eriocephala 	Salicaceae	1	1528	1528
EU790699.1  Salix sericea voucher Brunsfeld 4-ny maturase K (matK) gene, partial 	EU790699 	Salix sericea 	Salicaceae	1	1528	1528
EU790700.1  Salix wolfii voucher Brunsfeld 5092-id maturase K (matK) gene, 	EU790700 	Salix wolfii 	Salicaceae	1	1528	1528
EU790701.1  Chosenia arbutifolia voucher Chase CHOSBRA6463 maturase K (matK) 	EU790701 	Salix arbutifolia 	Salicaceae	1	1528	1528
EU790702.1  Populus deltoides voucher Brunsfeld 5050-ny maturase K (matK) gene, 	EU790702 	Populus deltoides 	Salicaceae	1	1528	1528
FJ514668.1  Casearia javitensis voucher NH200627 maturase K (matK) gene, partial 	FJ514668 	Casearia javitensis 	Salicaceae	1	794	794
FJ670040.1  Idesia polycarpa maturase K (matK) gene, partial cds; chloroplast. 	FJ670040 	Idesia polycarpa 	Salicaceae	1	1129	1129
FN794398.1  Salix mucronata subsp. subserrata chloroplast partial tRNA-Lys gene 	FN794398 	Salix mucronata subsp. subserrata 	Salicaceae	296	667	372
FN794399.1  Salix murielii chloroplast partial tRNA-Lys gene intron and partial 	FN794399 	Salix murielii 	Salicaceae	296	667	372
FN794402.1  Salix mucronata subsp. subserrata chloroplast partial matK gene for 	FN794402 	Salix mucronata subsp. subserrata 	Salicaceae	72	872	801
FN794403.1  Salix murielii chloroplast partial matK gene for maturase K. 	FN794403 	Salix murielii 	Salicaceae	72	872	801
FR694987.1  Salix cardiophylla chloroplast partial matK gene and partial 	FR694987 	Salix cardiophylla 	Salicaceae	50	835	786
FR694992.1  Salix turczaninowii chloroplast partial matK gene and partial 	FR694992 	Salix turczaninowii 	Salicaceae	50	835	786
FR695016.1  Salix chamissonis chloroplast partial matK gene and partial tRNA-Lys 	FR695016 	Salix chamissonis 	Salicaceae	50	835	786
FR695017.1  Salix pseudopentandra chloroplast partial matK gene and partial 	FR695017 	Salix pseudopentandra 	Salicaceae	50	835	786
GQ248184.1  Populus alba voucher C. Lexer 11-M4 * maturase K (matk) gene, 	GQ248184 	Populus alba 	Salicaceae	1	796	796
GQ248185.1  Populus tremula voucher C. Lexer TO5-M4* maturase K (matk) gene, 	GQ248185 	Populus tremula 	Salicaceae	1	771	771
GQ981950.1  Casearia aculeata maturase K (matK) gene, partial cds; chloroplast. 	GQ981950 	Casearia aculeata 	Salicaceae	1	509	509
GQ981951.1  Casearia arborea maturase K (matK) gene, partial cds; chloroplast. 	GQ981951 	Casearia arborea 	Salicaceae	1	782	782
GQ981952.1  Casearia commersoniana maturase K (matK) gene, partial cds; 	GQ981952 	Casearia commersoniana 	Salicaceae	1	822	822
GQ981953.1  Casearia guianensis maturase K (matK) gene, partial cds; 	GQ981953 	Casearia guianensis 	Salicaceae	1	729	729
GQ981954.1  Casearia sylvestris maturase K (matK) gene, partial cds; 	GQ981954 	Casearia sylvestris 	Salicaceae	1	511	511
GQ982008.1  Hasseltia floribunda maturase K (matK) gene, partial cds; 	GQ982008 	Hasseltia floribunda 	Salicaceae	1	783	783
GQ982029.1  Laetia thamnia maturase K (matK) gene, partial cds; chloroplast. 	GQ982029 	Casearia thamnia 	Salicaceae	1	839	839
GQ982110.1  Tetrathylacium johansenii maturase K (matK) gene, partial cds; 	GQ982110 	Tetrathylacium johansenii 	Salicaceae	1	795	795
GQ982129.1  Xylosma oligandra maturase K (matK) gene, partial cds; chloroplast. 	GQ982129 	Xylosma oligandra 	Salicaceae	1	859	859
GU135055.1  Flacourtia indica voucher J.R. Abbott 25027 (FLAS) maturase K (matK) 	GU135055 	Flacourtia indica 	Salicaceae	1	827	827
GU373360.1  Salix alba voucher H:684333 maturase K (matK) gene, partial cds; 	GU373360 	Salix alba 	Salicaceae	1	786	786
GU373361.1  Salix glauca subsp. glauca voucher H:031358 maturase K (matK) gene, 	GU373361 	Salix glauca subsp. glauca 	Salicaceae	1	786	786
GU373362.1  Salix myrsinifolia voucher H:776733 maturase K (matK) gene, partial 	GU373362 	Salix myrsinifolia 	Salicaceae	1	786	786
GU373363.1  Salix myrsinifolia subsp. kolaensis voucher H:740132 maturase K 	GU373363 	Salix myrsinifolia subsp. kolaensis 	Salicaceae	1	786	786
GU373364.1  Salix repens voucher H:294686 maturase K (matK) gene, partial cds; 	GU373364 	Salix repens 	Salicaceae	1	786	786
GU373365.1  Salix repens subsp. arenaria voucher H:738247 maturase K (matK) 	GU373365 	Salix repens subsp. arenaria 	Salicaceae	1	786	786
GU373367.1  Salix rosmarinifolia voucher H:644625 maturase K (matK) gene, 	GU373367 	Salix rosmarinifolia 	Salicaceae	1	786	786
GU373368.1  Salix myrsinites voucher H:778526 maturase K (matK) gene, partial 	GU373368 	Salix myrsinites 	Salicaceae	1	780	780
HE612056.1  Salix darpirensis chloroplast matK gene for maturase K and partial 	HE612056 	Salix darpirensis 	Salicaceae	50	835	786
HE612061.1  Salix dshugdshurica chloroplast matK gene for maturase K and partial 	HE612061 	Salix dshugdshurica 	Salicaceae	50	835	786
HE612073.1  Salix nipponica chloroplast matK gene for maturase K and partial 	HE612073 	Salix nipponica 	Salicaceae	50	835	786
HE612075.1  Salix siuzevii chloroplast matK gene for maturase K and partial trnK 	HE612075 	Salix siuzevii 	Salicaceae	50	835	786
HE612083.1  Populus suaveolens chloroplast matK gene for maturase K and partial 	HE612083 	Populus suaveolens 	Salicaceae	50	835	786
HE612084.1  Salix arbutifolia chloroplast matK gene for maturase K and partial 	HE612084 	Salix arbutifolia 	Salicaceae	50	835	786
HE967464.1  Populus nigra chloroplast partial matK gene for maturase K, specimen 	HE967464 	Populus nigra 	Salicaceae	1	735	735
HE967465.1  Populus tremula chloroplast partial matK gene for maturase K, 	HE967465 	Populus tremula 	Salicaceae	1	735	735
HM446663.1  Casearia arborea maturase K (matK) gene, partial cds; chloroplast. 	HM446663 	Casearia arborea 	Salicaceae	1	777	777
HM446664.1  Casearia sylvestris maturase K (matK) gene, partial cds; 	HM446664 	Casearia sylvestris 	Salicaceae	1	777	777
HM446700.1  Homalium racemosum maturase K (matK) gene, partial cds; chloroplast. 	HM446700 	Homalium racemosum 	Salicaceae	1	791	791
HM446704.1  Laetia procera maturase K (matK) gene, partial cds; chloroplast. 	HM446704 	Casearia bicolor 	Salicaceae	1	796	796
HM446743.1  Samyda dodecandra maturase K (matK) gene, partial cds; chloroplast. 	HM446743 	Casearia dodecandra 	Salicaceae	1	761	761
HM446753.1  Xylosma schwaneckeana maturase K (matK) gene, partial cds; 	HM446753 	Xylosma schwaneckeana 	Salicaceae	1	628	628
HM850925.1  Populus alba maturase K (matK) gene, partial cds; chloroplast. 	HM850925 	Populus alba 	Salicaceae	1	825	825
HM850926.1  Populus nigra maturase K (matK) gene, partial cds; chloroplast. 	HM850926 	Populus nigra 	Salicaceae	1	825	825
HQ415293.1  Casearia glomerata maturase K (matK) gene, partial cds; chloroplast. 	HQ415293 	Casearia glomerata 	Salicaceae	1	824	824
HQ415362.1  Homalium cochinchinense maturase K (matK) gene, partial cds; 	HQ415362 	Homalium cochinchinense 	Salicaceae	1	881	881
HQ427414.1  Idesia polycarpa maturase K (matK) gene, partial cds; chloroplast. 	HQ427414 	Idesia polycarpa 	Salicaceae	1	878	878
HQ427415.1  Xylosma congesta maturase K (matK) gene, partial cds; chloroplast. 	HQ427415 	Xylosma congesta 	Salicaceae	1	842	842
HQ593393.1  Populus deltoides voucher KSRB 009 maturase K (matK) gene, partial 	HQ593393 	Populus deltoides 	Salicaceae	1	801	801
HQ593394.1  Populus tremuloides voucher JAG 0879 maturase K (matK) gene, partial 	HQ593394 	Populus tremuloides 	Salicaceae	1	789	789
HQ593425.1  Salix alba voucher AP375 maturase K (matK) gene, partial cds; 	HQ593425 	Salix alba 	Salicaceae	1	854	854
HQ593426.1  Salix bebbiana voucher AP403 maturase K (matK) gene, partial cds; 	HQ593426 	Salix bebbiana 	Salicaceae	1	794	794
HQ593427.1  Salix lucida voucher AP443 maturase K (matK) gene, partial cds; 	HQ593427 	Salix lucida 	Salicaceae	1	869	869
HQ593428.1  Salix nigra voucher JAG 0458 maturase K (matK) gene, partial cds; 	HQ593428 	Salix nigra 	Salicaceae	1	849	849
JF270749.1  Dovyalis caffra voucher OM349 maturase K (matK) gene, partial cds. 	JF270749 	Dovyalis caffra 	Salicaceae	1	777	777
JF270789.1  Flacourtia indica voucher OM581 maturase K (matK) gene, partial cds. 	JF270789 	Flacourtia indica 	Salicaceae	1	769	769
JF270824.1  Homalium dentatum voucher OM1508 maturase K (matK) gene, partial 	JF270824 	Homalium dentatum 	Salicaceae	1	777	777
JF270877.1  Oncoba spinosa voucher OM631 maturase K (matK) gene, partial cds. 	JF270877 	Oncoba spinosa 	Salicaceae	1	760	760
JF270923.1  Salix mucronata voucher OM1198 maturase K (matK) gene, partial cds. 	JF270923 	Salix mucronata 	Salicaceae	1	554	554
JF270930.1  Scolopia zeyheri voucher OM1552 maturase K (matK) gene, partial cds. 	JF270930 	Scolopia zeyheri 	Salicaceae	1	725	725
JF270978.1  Trimeria grandifolia voucher OM1549 maturase K (matK) gene, partial 	JF270978 	Trimeria grandifolia 	Salicaceae	1	768	768
JF429912.1  Populus tremula maturase K (matK) gene, partial cds; chloroplast. 	JF429912 	Populus tremula 	Salicaceae	1	882	882
JF429913.1  Populus tremuloides maturase K (matK) gene, partial cds; 	JF429913 	Populus tremuloides 	Salicaceae	1	882	882
JF429914.1  Populus nigra maturase K (matK) gene, partial cds; chloroplast. 	JF429914 	Populus nigra 	Salicaceae	1	882	882
JN893907.1  Salix pentandra isolate NMW754 maturase K (matK) gene, partial cds; 	JN893907 	Salix pentandra 	Salicaceae	1	865	865
JN893908.1  Salix purpurea isolate NMW756 maturase K (matK) gene, partial cds; 	JN893908 	Salix purpurea 	Salicaceae	1	842	842
JN893909.1  Salix repens isolate NMW757 maturase K (matK) gene, partial cds; 	JN893909 	Salix repens 	Salicaceae	1	825	825
JN893910.1  Salix aurita isolate NMW750 maturase K (matK) gene, partial cds; 	JN893910 	Salix aurita 	Salicaceae	1	886	886
JN893911.1  Salix caprea isolate NMW751 maturase K (matK) gene, partial cds; 	JN893911 	Salix caprea 	Salicaceae	1	806	806
JN893912.1  Salix triandra isolate NMW758 maturase K (matK) gene, partial cds; 	JN893912 	Salix triandra 	Salicaceae	1	843	843
JN893913.1  Salix viminalis isolate NMW759 maturase K (matK) gene, partial cds; 	JN893913 	Salix viminalis 	Salicaceae	1	877	877
JN893927.1  Populus tremula isolate NBGW6032 maturase K (matK) gene, partial 	JN893927 	Populus tremula 	Salicaceae	1	820	820
JN894117.1  Salix aurita isolate NMW6342 maturase K (matK) gene, partial cds; 	JN894117 	Salix aurita 	Salicaceae	1	830	830
JN894242.1  Salix herbacea isolate NMW5065 maturase K (matK) gene, partial cds; 	JN894242 	Salix herbacea 	Salicaceae	1	803	803
JN894322.1  Salix alba isolate NMW6488 maturase K (matK) gene, partial cds; 	JN894322 	Salix alba 	Salicaceae	1	752	752
JN894479.1  Populus tremula isolate NMW651 maturase K (matK) gene, partial cds; 	JN894479 	Populus tremula 	Salicaceae	1	624	624
JN894480.1  Populus nigra isolate NMW650 maturase K (matK) gene, partial cds; 	JN894480 	Populus nigra 	Salicaceae	1	816	816
JN894733.1  Salix repens isolate NMW3673 maturase K (matK) gene, partial cds; 	JN894733 	Salix repens 	Salicaceae	1	738	738
JN894734.1  Salix purpurea isolate NMW3671 maturase K (matK) gene, partial cds; 	JN894734 	Salix purpurea 	Salicaceae	1	835	835
JN894735.1  Salix purpurea isolate NMW3670 maturase K (matK) gene, partial cds; 	JN894735 	Salix purpurea 	Salicaceae	1	848	848
JN894736.1  Salix viminalis isolate NMW3677 maturase K (matK) gene, partial cds; 	JN894736 	Salix viminalis 	Salicaceae	1	758	758
JN894737.1  Salix viminalis isolate NMW3676 maturase K (matK) gene, partial cds; 	JN894737 	Salix viminalis 	Salicaceae	1	802	802
JN894738.1  Salix triandra isolate NMW3674 maturase K (matK) gene, partial cds; 	JN894738 	Salix triandra 	Salicaceae	1	801	801
JN894891.1  Salix cinerea isolate NMW3661 maturase K (matK) gene, partial cds; 	JN894891 	Salix cinerea 	Salicaceae	1	766	766
JN894892.1  Salix fragilis isolate NMW3663 maturase K (matK) gene, partial cds; 	JN894892 	Salix fragilis 	Salicaceae	1	860	860
JN894893.1  Salix fragilis isolate NMW3664 maturase K (matK) gene, partial cds; 	JN894893 	Salix fragilis 	Salicaceae	1	852	852
JN894895.1  Salix pentandra isolate NMW3668 maturase K (matK) gene, partial cds; 	JN894895 	Salix pentandra 	Salicaceae	1	834	834
JN894896.1  Salix pentandra isolate NMW3669 maturase K (matK) gene, partial cds; 	JN894896 	Salix pentandra 	Salicaceae	1	834	834
JN895010.1  Salix cinerea isolate NMW6287 maturase K (matK) gene, partial cds; 	JN895010 	Salix cinerea 	Salicaceae	1	824	824
JN895049.1  Salix caprea isolate NMW3659 maturase K (matK) gene, partial cds; 	JN895049 	Salix caprea 	Salicaceae	1	781	781
JN895050.1  Salix alba isolate NMW3655 maturase K (matK) gene, partial cds; 	JN895050 	Salix alba 	Salicaceae	1	761	761
JN895051.1  Salix aurita isolate NMW3657 maturase K (matK) gene, partial cds; 	JN895051 	Salix aurita 	Salicaceae	1	770	770
JN895052.1  Populus nigra isolate NMW3651 maturase K (matK) gene, partial cds; 	JN895052 	Populus nigra 	Salicaceae	1	783	783
JN895053.1  Populus nigra isolate NMW3650 maturase K (matK) gene, partial cds; 	JN895053 	Populus nigra 	Salicaceae	1	796	796
JN895054.1  Populus tremula isolate NMW3653 maturase K (matK) gene, partial cds; 	JN895054 	Populus tremula 	Salicaceae	1	767	767
JN895055.1  Populus tremula isolate NMW3652 maturase K (matK) gene, partial cds; 	JN895055 	Populus tremula 	Salicaceae	1	793	793
JN895285.1  Populus tremula isolate NMW5193 maturase K (matK) gene, partial cds; 	JN895285 	Populus tremula 	Salicaceae	1	796	796
